prev_close,iep,change,final_price,low_52,high_52,high
29242.95,29220.00,-191.80,29220.00,19080.00,32048.00,29525.1
28224.75,28015.05,-209.70,28015.05,18183.55,32048.00,28800
28134.45,27830.00,-304.45,27830.00,18183.55,32048.00,28450
27910.50,27500.00,-410.50,27500.00,18000.00,32048.00,28080.55
31748.75,31200.00,-548.75,31200.00,16135.00,32048.00,31497.4
30230.65,30260.25,29.60,30251.40,15882.15,30628.40,32048
30114.10,30140.00,25.90,30140.00,15882.15,30628.40,30580.7
30358.25,30375.00,16.75,30375.00,15882.15,30628.40,30500
29951.95,29900.00,-51.95,29900.00,15410.00,30279.50,30628.4
29465.40,29570.00,104.60,29570.00,15410.00,29660.00,30279.5
27555.80,27878.00,322.20,27878.00,15410.00,29090.00,27980
28268.50,28580.00,311.50,28580.00,15410.00,29090.00,28580
26842.20,27125.00,282.80,27125.00,15410.00,29090.00,27269.95
27185.05,27445.00,259.95,27240.00,15410.00,29090.00,27980
27644.55,27895.00,250.45,27895.00,15410.00,29090.00,27948.25
27313.15,27539.00,225.85,27250.00,15410.00,29090.00,27693.85
26501.70,26600.50,98.80,26600.50,15410.00,29090.00,27832.5
27658.75,27755.50,96.75,27755.50,15410.00,29090.00,28159.55
27090.85,27165.00,74.15,27165.00,15410.00,29090.00,27532.05
27542.45,27615.00,72.55,27615.00,15410.00,29090.00,27750
27260.35,27313.25,52.90,27313.25,15410.00,29090.00,27849.95
27848.60,27900.00,51.40,27900.00,15410.00,29090.00,28486.95
27623.35,27649.95,26.60,27649.95,15410.00,29090.00,27857.45
27706.95,27710.00,3.05,27710.00,15410.00,29090.00,27800
27430.80,27431.10,0.30,27431.10,15410.00,29090.00,27550
27450.90,27450.90,0.00,27450.90,15410.00,29090.00,27720.5
27553.00,27553.00,0.00,27553.00,15410.00,29090.00,27879.9
26954.50,26951.00,-3.50,26951.00,15410.00,29090.00,28500
28597.40,28569.40,-28.00,28569.40,15410.00,29090.00,28840.45
26936.70,26900.00,-36.70,26900.00,15410.00,29090.00,27214.15
28312.20,28172.00,-140.20,28172.00,15410.00,29090.00,28390.65
