"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
MARUTI,"7,064.65","7,125.00",60.35,0.85,"7,125.00",1490,"10,616,250.00","938,999,554,186.76","8,329.00","4,001.10",18-Mar-2021
RELIANCE,"2,055.35","2,072.90",17.55,0.85,"2,072.90",85136,"176,478,414.40","6,645,182,436,764.52","2,369.35",866.98,18-Mar-2021
HEROMOTOCO,"3,190.55","3,217.70",27.15,0.85,"3,217.70",1094,"3,520,163.80","414,289,556,255.58","3,629.05","1,475.00",18-Mar-2021
NTPC,106.55,107.40,0.85,0.8,107.40,32180,"3,456,132.00","516,589,888,310.16",114.70,73.20,18-Mar-2021
BAJAJ-AUTO,"3,569.60","3,598.00",28.4,0.8,"3,598.00",689,"2,479,022.00","464,816,031,566.40","4,361.40","1,788.65",18-Mar-2021
BAJAJFINSV,"9,525.10","9,600.00",74.9,0.79,"9,600.00",699,"6,710,400.00","576,004,025,780.87","10,579.00","3,985.30",18-Mar-2021
HDFCLIFE,689.80,695.10,5.3,0.77,695.10,6110,"4,247,061.00","543,405,783,593.32",746.00,340.00,18-Mar-2021
HCLTECH,987.45,995.00,7.55,0.76,995.00,10108,"10,057,460.00","1,071,843,439,618.08","1,067.00",375.25,18-Mar-2021
IOC,98.20,98.90,0.7,0.71,98.90,73407,"7,259,952.30","249,607,009,657.91",105.00,71.15,18-Mar-2021
EICHERMOT,"2,647.00","2,665.60",18.6,0.7,"2,665.60",1318,"3,513,260.80","368,876,332,566.00","3,037.00","1,245.01",18-Mar-2021
BPCL,432.05,435.00,2.95,0.68,435.00,20615,"8,967,525.00","346,773,489,776.72",482.40,252.00,18-Mar-2021
SBILIFE,888.95,895.00,6.05,0.68,895.00,2221,"1,987,795.00","346,707,532,557.57",983.75,519.40,18-Mar-2021
KOTAKBANK,"1,868.35","1,881.00",12.65,0.68,"1,881.00",10541,"19,827,621.00","2,737,209,320,363.85","2,049.00","1,001.00",18-Mar-2021
